digest	verdict	path	sentence
c201ad361faf	OK	example/pageledger.md	关于那个 `_failures.json`：它是 `Acquisition` 的东西，不是 `PageLedger` 的， 两者的粒度也完全不同——页台账是**批内**断点（一批一个文件），失败清单是 **跨 run 累积**的整体耐久记录（`{symbol: 错误消息}`；
1d2ee92cb854	STALE	example/registry.md	上一次 run 的 `_failures.json`，`{symbol: 原因}`
9c1baead4675	OK	example/registry.md	旧的 `set(result.failures) == set(_failures.json)` 已作废：两边本是同一个 dict 在同一处组装 出来的回执，不是对任何一边是否正确的检查，而且它会让一次换了 roster 的正常跑把上一轮的 404 当成自己的报出来。
c6097c30a607	OK	example/registry.md	那个关系**不是相等**（REVIEW CR-01 起）：`len(result.failures)` 是「**本轮**发现了几个 失败」，而 `_failures.json` 是跨 run 累积的运维记录，可能还留着别的 run 遗留、本轮根本 没请求过的条目。
32c8c0b2f7a1	OK	quantlab/acquisition/inspector.py	The manifest is kept anyway, and deliberately (D-18): it is the crash-durable operator record -- a process that dies returns no `AcquisitionResult` -- and the console needs the reasons, which is what this reads.
7fbdbaa9186a	STALE	quantlab/acquisition/inspector.py	def failures(self, config: AcquisitionConfig) -> dict[str, str]: "The last run's `_failures.json` as `{symbol: reason}`, or `{}`.
7718a2a3df29	OK	quantlab/acquisition/registry.py	The crash-durable `_failures.json` beside the watermarks is the wider cross-run record and may name symbols this run never attempted, so the two are related by `set(result.failures) <= set(manifest)` -- containment, not equality (D-18;
028345051704	OK	quantlab/base/acquisition.py	Entries for those are NOT restored -- a symbol that succeeded this run must leave the manifest, and one that failed this run already carries this run's message.
2242e4b73d6c	OK	quantlab/base/acquisition.py	`_run` passes a `manifest = dict(failures)` COPY and hands the run's own `failures` untouched to `AcquisitionResult` (REVIEW CR-01), so what holds between them is a containment: the result's failure set is a subset of this file's key set, and the messages agree on every key the two share.
3a8808e777a9	OK	quantlab/base/acquisition.py	The manifest is the DURABLE, cross-run record -- every symbol currently known to be failing, including ones no recent run attempted -- whereas `failures` here is what THIS run discovered and stays inside `requested`.
42c7edcd1aae	OK	quantlab/base/acquisition.py	**`failures` here is the MANIFEST copy, not the run's own dict.** `_run` passes `manifest = dict(failures)` and keeps the run's `failures` untouched for `AcquisitionResult` (REVIEW CR-01).
437931ab362e	NA	quantlab/base/acquisition.py	They are " f"distinct from the failures in " f"{self.FAILURE_MANIFEST_NAME}, which were never successfully " f"queried at all, and they are skipped rather than re-asked " f"every run." ) if counts["widened"]: logger.info( f"Re-fetching {counts['widened']} symbol(s) whose recorded " f"coverage starts AFTER the requested " f"{self.config.start_date} -- their history is shallower than " f"this run asks for." ) if counts["legacy"]: if self._legacy_policy() == "warn": logger.warning( f"{counts['legacy']} symbol(s) carry a legacy watermark " f"with NO recorded covered start.
5baee593ec83	OK	quantlab/base/acquisition.py	def _write_failure_manifest(self, failures: dict[str, str]) -> None: "Persist `{symbol: message}` -- the store's durable record of every symbol currently known to be failing.
60580c270719	OK	quantlab/base/acquisition.py	**Why this exists at all.** `_write_failure_manifest` OVERWRITES, and `_run`'s `failures` starts empty on every call.
86cbaa133ad9	OK	quantlab/base/acquisition.py	def _merge_unattempted_failures( self, failures: dict[str, str], attempted: set[str] ) -> None: "Fold the EXISTING manifest's entries for symbols this run never reached back into `failures`, in place (03.4 D-18, RESEARCH Pitfall 4).
8baa97973949	OK	quantlab/base/acquisition.py	It matters here for the same reason it matters for the watermark: a cancel lands at a batch boundary and this file is rewritten on the way out, so a plain write could leave a truncated manifest -- either unparseable, or well-formed but naming FEWER symbols than the record actually holds, which silently deletes durable entries: the same erasure WR-03 guards against, arriving by a different route.
a3a54ec97f0f	STALE	quantlab/base/acquisition.py	Trips the global abort and is EXCLUDED from the manifest: recording a global condition as one ticker's fault would defame a perfectly good symbol and make the manifest lie about what the last run did.
ad70325e8d2b	OK	quantlab/base/acquisition.py	What it must NOT do is widen the run's report: until REVIEW CR-01 the manifest and `AcquisitionResult.failures` were one dict, so these carried-forward entries were broadcast as this run's own failures.
48a3b82ac7cd	OK	quantlab/base/coverage.py	On the ledger for exactly the reason `failure_manifest_path` is, one step further: the manifest now has TWO readers -- the credential-free `SourceInspector.failures`, and `Acquisition._run`'s pre-write merge (03.4 D-17/D-18), which folds the previous run's entries for symbols THIS run never attempted back in before the overwrite.
ad6635a64b4e	STALE	quantlab/base/coverage.py	def read_failure_manifest(self) -> dict[str, str]: "The last run's `_failures.json` as `{symbol: reason}`, or `{}`.
185003a56565	OK	tests/test_acquisition_progress.py	**Cancelled.** `_write_failure_manifest` OVERWRITES and `_run`'s `failures` starts empty, so a run cancelled before it reached symbols that failed LAST time would write `{}` -- wiping out the operator's only record that those symbols are still failing.
1c4794ff2a35	OK	tests/test_acquisition_progress.py	It read True during phase verification on top of a manifest that had just been emptied, and it also forced the manifest's carried-forward entries into the result, so a run over a disjoint roster reported a previous run's 404s as its own.
2d73d6c57b85	OK	tests/test_acquisition_progress.py	# -- the result speaks for THIS run only ------------------------------- assert result.failures == {}, ( f"a run that completed with zero failures of its own reported " f"{result.failures}.
45a32bc262e4	OK	tests/test_acquisition_progress.py	# the manifest still holds the previous run's entry.
5a1b9f7bea87	OK	tests/test_acquisition_progress.py	`AcquisitionResult` documents " f"itself as what ONE programmatic run did, and " f"ingest_us_equity.py prints len(result.failures) as this run's " f"failure count" ) assert set(result.failures) <= set(result.requested), ( f"result.failures must stay inside this run's roster, or it cannot be " f"aligned with `coverage` (which covers `requested` only).
5bc32bcdb0fb	OK	tests/test_acquisition_progress.py	# -- and the manifest is still the durable, cross-run record ----------- after = json.loads(manifest_path.read_text()) assert after.get(permanent) == recorded_reason, ( f"the disjoint run erased the previous run's failure record.
5c5e55b81a86	OK	tests/test_acquisition_progress.py	def test_the_manifest_survives_a_quota_abort_on_the_default_path( mock_tiingo_client, acquisition_config, tmp_path ) -> None: "VERIFICATION gap 1 / REVIEW CR-01: a quota abort on the DEFAULT path (`wait_for_quota` never set) must leave the previous run's recorded 404s on disk, because it never went near those symbols.
5f03ba07e02b	OK	tests/test_acquisition_progress.py	- `result.failures` is EMPTY -- this run discovered nothing.
7ddd338bcb28	OK	tests/test_acquisition_progress.py	it reports {second.last_result.failures}, which is the " f"manifest's carried-forward content, not this run's news" ) assert set(second.last_result.failures) <= set(after), ( f"containment has to hold on the cancel path too: " f"result={sorted(second.last_result.failures)} manifest={sorted(after)}" )
917a392beadc	OK	tests/test_acquisition_progress.py	# -- the gap: the previous run's 404 must still be on disk ------------- after = json.loads(manifest_path.read_text()) assert permanent in after, ( f"the aborting run erased the previous run's failure record.
91eedb2ef2f4	OK	tests/test_acquisition_progress.py	def test_result_and_manifest_agree( mock_tiingo_client, acquisition_config, tmp_path ) -> None: "D-18: the in-process result and the crash-durable manifest never contradict each other -- on a multi-pass run AND on a cancelled one.
ad96aef1773a	OK	tests/test_acquisition_progress.py	assert mock_tiingo_client.calls == [], ( "the cancelled run must have reached no symbol at all, or it would have news about the previously-failed one" ) after = json.loads(second._coverage.failure_manifest_path.read_text()) assert second.last_result.cancelled is True assert after != {}, ( "a cancelled run that never reached the failed symbol must not overwrite the manifest with an empty dict, wiping out the operator's only record that the symbol is still failing (RESEARCH Pitfall 4)" ) assert after == before
b55bd5f3a44b	OK	tests/test_acquisition_progress.py	But manifest and result were assembled from ONE dict, so the same merge also poured a previous run's entries into `AcquisitionResult.failures` -- on a run that completed normally with zero failures of its own.
d0b833b45b48	OK	tests/test_acquisition_progress.py	assert set(result.failures) <= set(manifest), ( f"every failure this run found must also be in the durable manifest: " f"result={sorted(result.failures)} manifest={sorted(manifest)}" ) assert all(result.failures[k] == manifest[k] for k in result.failures), ( f"the MESSAGES must agree too, not only the keys: " f"result={result.failures} manifest={manifest}" ) assert set(result.failures) <= set(result.requested), ( f"the result speaks only for its own roster: " f"requested={sorted(result.requested)} failures={sorted(result.failures)}" ) assert set(result.failures) == {permanent}, ( f"the multi-pass run itself found exactly one permanent failure;
d1c9d4cf1415	OK	tests/test_acquisition_progress.py	def test_a_disjoint_rerun_does_not_inherit_earlier_failures( mock_tiingo_client, acquisition_config, tmp_path ) -> None: "REVIEW CR-01: the DURABLE manifest and THIS run's result are two different statements, and the pre-write merge may only widen the first.
daad6062e475	OK	tests/test_acquisition_progress.py	it held {before} " f"before, and this run never asked the vendor for {permanent}" ) assert set(result.failures) <= set(after), ( f"every failure THIS run found must also be in the durable manifest;
f78e6cb343f1	OK	tests/test_acquisition_progress.py	- `set(result.failures) <= set(manifest)` -- the durable record may hold MORE (entries carried forward from runs that are over), never fewer than what this run found;
fc42180b16b0	OK	tests/test_acquisition_progress.py	- `set(result.failures) <= set(requested)` -- the result speaks only for the roster this run asked for.
528322447dc0	NA	tests/test_alpaca_acquisition.py	If it read the ambient values instead of overwriting them, a real secret could be captured into a test artefact -- a log line, a failure manifest, a CI transcript.
b95e625f54df	NA	tests/test_page_ledger.py	So the first run's death is asserted through the manifest rather than through `pytest.raises`, which pins BOTH the ledger flush and the isolation.
a537a83ae620	OK	tests/test_source_registry.py	`_failures.json` still lands on disk beside the watermarks, because the in-process result and the crash-durable record are two outputs on purpose, not one replacing the other (D-18).
f622fd2e09c3	OK	tests/test_source_registry.py	# `set(result.failures) <= set(manifest)` -- the manifest accumulates
7f38330cfe1a	STALE	tests/test_tiingo_quota.py	def test_the_quota_condition_never_lands_in_the_failure_manifest( mock_tiingo_client, tmp_path ): "Recording a GLOBAL condition as one ticker's fault would defame a perfectly good symbol and make the manifest lie about what the last run did -- and the next run would "retry" a symbol that never failed.
